x,y
66,41
127,328
468,15
387,400
474,59
369,310
77,24
369,26
355,24
10,199
125,50
267,342
83,462
239,270
56,423
71,2
352,457
24,67
28,219
122,95
273,338
63,384
281,82
468,377
128,147
432,445
262,453
337,394
307,256
404,407
233,478
441,490
289,412
318,67
190,491
173,242
199,408
237,352
263,432
252,227
427,472
118,435
204,473
139,304
88,77
374,285
475,234
176,499
201,126
155,302
337,456
401,126
177,92
430,189
300,15
450,263
294,25
14,249
213,490
401,292
227,126
23,308
66,405
196,321
175,450
276,71
321,392
379,124
451,92
121,472
265,216
170,267
199,406
482,293
168,475
67,82
112,57
230,389
257,412
132,475
200,171
183,100
416,9
435,388
275,384
442,191
106,241
180,31
260,73
292,263
448,67
30,429
48,221
188,45
288,413
30,163
47,78
63,448
254,223
459,76
393,400
94,353
401,476
413,412
233,346
458,459
250,313
194,269
270,257
172,377
459,164
251,12
418,161
42,243
131,408
95,166
94,207
397,486
233,68
275,160
39,198
407,474
320,347
43,374
485,130
146,51
118,131
474,205
309,22
365,212
162,239
100,201
177,406
328,413
263,492
188,289
51,122
460,143
341,30
297,458
151,308
119,178
50,123
143,372
134,455
249,192
208,331
479,148
222,117
79,314
232,159
434,267
483,388
266,181
232,495
151,266
326,183
481,146
445,240
51,154
101,136
181,188
427,190
293,366
325,76
24,41
447,166
415,178
458,87
3,370
193,52
213,252
248,343
498,375
2,423
158,325
203,376
244,63
11,50
357,278
459,432
216,69
11,304
403,308
437,486
347,346
97,112
444,67
341,112
139,118
7,368
487,472
341,426
54,239
111,70
28,255
363,146
215,20
15,214
399,412
11,410
245,332
211,212
279,408
111,240
99,106
93,100
422,97
441,230
210,187
155,4
322,393
486,203
43,350
349,34
340,65
166,297
63,26
59,400
419,492
374,283
355,272
210,219
383,466
152,247
306,61
445,36
173,480
168,431
325,390
20,419
78,485
404,183
132,215
146,433
264,97
48,353
370,239
487,420
338,269
172,125
43,228
260,121
121,22
38,479
92,195
133,134
489,300
439,42
171,408
375,214
388,269
274,249
451,16
496,419
459,104
351,250
309,42
318,441
25,40
223,372
247,46
426,5
386,263
296,141
208,447
49,326
103,50
351,380
39,392
394,265
376,415
275,26
315,292
196,175
222,297
178,277
111,400
6,199
340,61
168,191
249,386
77,72
19,212
137,364
203,236
29,428
383,452
349,118
298,51
130,493
197,206
207,198
227,150
310,391
79,376
457,414
301,348
472,373
336,401
136,3
12,33
140,467
232,313
173,358
485,484
344,65
7,368
21,448
54,339
226,177
136,267
258,435
232,325
169,370
354,437
200,107
260,147
473,58
495,154
476,489
356,371
300,331
50,201
245,360
61,154
437,224
131,24
197,182
453,248
317,444
21,346
28,43
138,23
457,114
273,220
270,103
493,340
327,136
317,236
499,302
337,44
251,52
219,444
271,306
43,414
66,337
97,354
407,4
421,74
360,105
401,394
121,148
162,301
268,307
62,487
60,261
134,193
225,48
432,207
12,413
478,429
17,146
479,460
58,263
406,469
346,279
288,91
163,446
91,196
182,431
116,317
410,301
394,329
132,169
317,204
408,241
319,238
214,309
412,405
461,384
17,96
115,466
404,165
383,68
225,120
70,413
296,301
231,148
383,58
421,258
334,215
234,343
307,284
391,320
432,85
440,165
65,100
351,186
452,47
203,226
164,255
218,305
74,153
391,24
87,434
121,66
72,287
437,280
191,288
313,236
54,469
477,250
13,366
479,468
494,7
107,202
27,486
160,409
10,75
204,77
144,35
150,353
245,422
447,254
13,374
431,92
479,74
381,380
172,231
456,449
195,440
63,62
240,369
44,445
342,313
53,262
37,466
11,54
183,360
216,459
372,107
348,141
311,238
345,340
6,455
450,427
442,457
357,84
258,67
363,104
278,309
419,110
375,158
195,328
193,272
408,161
446,447
317,94
370,103
304,245
456,379
31,280
249,264
59,176
127,364
434,201
481,294
178,215
92,433
8,291
194,251
181,326
358,113
171,340
25,254
348,331
490,359
318,19
369,124
76,483
48,253
101,456
154,27
60,397
165,400
229,290
263,106
358,229
131,324
307,82
119,404
447,416
2,221
60,103
113,394
365,186
258,219
252,491
462,325
8,101
290,19
307,480
250,149
49,188
405,468
48,407
92,183
164,155
206,51
357,156
339,244
221,450
293,138
205,346
90,53
149,42
102,167
362,159
78,51
178,245
178,13
306,175
174,239
425,342
497,472
130,201
444,227
392,193
389,170
46,19
181,454
242,399
151,78
139,492
434,217
288,195
28,311
326,161
230,137
203,224
221,388
351,72
455,344
402,83
39,120
389,280
6,9
292,493
159,30
285,76
367,438
300,269
133,154
157,126
211,108
82,295
398,443
415,36
47,92
288,191
343,460
96,323
401,276
258,247
487,208
458,185
365,16
214,193
406,7
192,3
114,329
442,203
441,248
17,106
57,326
109,186
128,391
97,402
209,340
179,396
221,158
197,16
193,108
289,320
455,78
249,204
232,167
40,459
469,498
305,212
0,161
147,2
77,86
130,475
425,278
151,440
206,7
478,9
366,223
191,60
106,469
471,470
380,447
329,490
216,351
421,110
340,85
330,227
167,252
313,200
94,165
27,18
347,22
398,311
311,330
172,115
96,399
283,488
298,63
123,412
60,209
411,124
498,173
7,268
279,32
377,182
245,366
108,197
473,242
356,231
220,333
479,374
14,33
146,37
226,335
157,28
165,190
271,196
493,406
296,191
496,245
69,28
120,305
141,24
365,378
206,129
146,241
71,20
160,147
146,251
374,353
109,96
168,451
265,420
132,243
29,488
485,422
310,299
436,49
237,306
433,76
216,65
189,106
0,27
180,21
266,453
48,85
477,332
234,443
309,422
373,172
214,265
277,130
286,241
14,151
439,114
48,433
312,209
399,488
91,322
195,162
39,8
223,154
213,34
460,121
148,301
487,472
133,64
274,241
22,65
63,372
387,350
410,357
407,448
223,440
288,219
393,222
19,320
498,81
40,297
28,439
173,338
418,265
199,116
256,357
343,216
123,426
445,108
123,4
283,402
159,228
267,238
358,55
313,206
233,360
321,498
195,316
309,338
55,426
82,469
465,382
344,435
69,412
161,402
209,32
61,138
144,289
454,13
300,299
439,194
190,409
440,479
408,245
332,21
413,440
218,141
142,189
80,391
44,171
399,404
177,488
410,467
435,296
473,444
93,136
138,255
